fecha_hora,sector,ubicacion,colonia,observaciones,clasificacion,causa,lesionados,fallecidos,vehiculos_cantidad
2015-07-01 06:29:00,"CENTRO 2DO CUADRO","AV. ESCOBEDO Y CALLE FRANCISCO I MADERO","CENTRO",,"CHOQUE","SEMAFORO",0,0,2
2015-07-01 08:45:00,"ORIENTE 2","AV. SALTILLO Y PERIFERICO","VALLE VERDE",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,3
2015-07-01 08:55:00,"ORIENTE 2","PERIFERICO Y CARRETERA A SANTA FE","EJIDO SAN LUISITO",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-01 10:41:00,"ORIENTE 2","PERIFERICO Y AV. BRAVO","AMISTAD",,"CHOQUE","CORTE CIRCULACION",0,0,3
2015-07-01 10:50:00,"SUR 1","BLVD. LAGUNA FRENTE AL PANTEON","SANTIAGO RAMIREZ","UN OFICIAL MOTOCICLISTA DERRAPO SOLO 35860 FUE TRASLADADO A CRUZ ROJA","CAIDA DE PERSONAS","PERDIDA CONTROL",1,0,1
2015-07-01 12:24:00,"SUR 2","CALZ. JOSE VASCONCELOS Y CALLE PAVO REAL","TORREON RESIDENCIAL",,"CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,2
2015-07-01 15:04:00,"CENTRO 3ER CUADRO","AV. JUAREZ Y CALLE 29","CENTRO",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-01 15:37:00,"ORIENTE 1","CALZ. MOCTEZUMA Y CALLE XICOTENCATL","CAROLINAS","87 DE  LESIONADOS","CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,2
2015-07-01 16:23:00,"SUR 2","CALZ. SALTILLO 400 Y PASEO DE LOS CALVOS","AMPLIACION LA ROSITA",,"CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,2
2015-07-01 17:19:00,"SUR 2","BLVD. RODRIGUEZ TRIANA Y BLVD. LAGUNA SUR","LA DALIA",,"CHOQUE","NO RESPETAR SEÑAL ALTO",1,0,2
2015-07-01 18:26:00,"ORIENTE 1","CARRETERA SANTA FE  Y CALLE COLOMBIA","LAS ETNIAS",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,2
2015-07-01 20:01:00,"SUR 2","AV. DEL BOSQUE  Y CALLE DEL MIMBRE","VILLAS LA MERCED",,"CHOQUE","NO RESPETAR SEÑAL ALTO",1,0,2
2015-07-01 20:05:00,"SUR 2","PASEO DEL TECNOLOGICO Y AV. DE LOS METALES","RESIDENCIAL DEL NORTE",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,2
2015-07-01 21:45:00,"SUR 1","SALTILLO 400 FRENTE A LA PLAZA DE LA PIÑA","CAMPESTRE LA ROSITA",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,2
2015-07-01 23:30:00,"CENTRO 4TO CUADRO","RIO NAZAS",,,"CHOQUE","NO RESPETAR DISTANCIA",0,0,0
2015-07-02 00:15:00,"CENTRO 2DO CUADRO","CALLE 12 Y AV. ALLENDE","CENTRO",,"CHOQUE","CORTE CIRCULACION",1,0,2
2015-07-02 01:00:00,"CENTRO 3ER CUADRO","AV. BRAVO Y CALLE 22","CENTRO",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-02 13:16:00,"CENTRO 4TO CUADRO","BLVD. INDEPENDENCIA Y CALLE  ZACATECAS","GRANJAS SAN ISIDRO",,"CHOQUE","CORTE CIRCULACION",0,0,2
